category,rating,label,text_
Clothing_Shoes_and_Jewelry_5,4.0,OR,My Danske clogs are a 41 and loose fitting. The 41 in these Sophie shoes make my toes and heel fit the very edge.
Home_and_Kitchen_5,5.0,OR,Nice size.  Fits perfectly.  Love the added organization  they provide.
Movies_and_TV_5,5.0,OR,"I absolutely love The Twilight Zone, the people that wrote those shows were the best storytellers ever."
Tools_and_Home_Improvement_5,4.0,CG,"The light could be brighter, but it's not very bright.

The light is bright enough to light up the floor and the room."
Pet_Supplies_5,4.0,OR,"My pups loved this, but they were able to destroy it within an hour."
Electronics_5,5.0,OR,"Lightening fast, slick design.

Always been contented with Transcend products.

No complaints here.

Looking for a Ultra FAST USB 2.0 flash drive, then this is the one."
Sports_and_Outdoors_5,5.0,OR,I bought this to monitor my heart rate after a triple bypass. Seems to be a high quality product. They use these at the cardiac rehab facility.
Sports_and_Outdoors_5,5.0,OR,"Love this, guns are still on after driving cross country."
Sports_and_Outdoors_5,3.0,CG,"If you're an airsoft beginner, this will be an excellent addition to your kit. I would recommend this to anyone."
Electronics_5,4.0,OR,This TV mount worked well and came with everything listed in the description. I would purchase this again.
Sports_and_Outdoors_5,5.0,OR,These are great storage for ammo and almost anything you want to secure and keep water tight. Very satisfied with my purchase.
Home_and_Kitchen_5,3.0,CG,Fits on my dyson. Not an easy task to put together.
Clothing_Shoes_and_Jewelry_5,5.0,OR,Carefully packed.  Beautiful piece that looks ten times more expensive than the price paid. Plenty of capacity for larger watches.
Home_and_Kitchen_5,5.0,OR,"High Quality. Works well on herbs. Nice cover for safety. Good for buying for self. Comes in very minimal packaging, would not give as a gift."
Kindle_Store_5,4.0,OR,"A good continuation of the series, action packed and exciting. Full of the realistic twists and turns of plans going to heck that we've come to expect."
Movies_and_TV_5,4.0,OR,"It was suspenseful, had some mystery, moved at a good pace, had some creative thinking and was just fun to watch."
Electronics_5,4.0,OR,Nice sound.  For the price range it's a great option. Use it by the pool.  Does seem to take a bit of time to sync.
Tools_and_Home_Improvement_5,5.0,CG,Arrived on time and as described. The only problem is that it comes with a small screw driver.
Pet_Supplies_5,5.0,OR,Nice bed. Going on 2 years now. The dogs prefer this one to the other two I have. Good bang for the buck.
Books_5,3.0,OR,I recommend starting at beginning of series.  Progression of characters most interesting angle.
Pet_Supplies_5,2.0,OR,"I have been using frontline for years, but lately doesn't seem to be working for my dogs. After applying, there are still signs of fleas and constant itching."
Clothing_Shoes_and_Jewelry_5,3.0,CG,I ordered a small and it fit perfectly. It is a little snug but not too tight.
Toys_and_Games_5,3.0,OR,Granddaughter loved it but I thought it was too expensive for what you get.
Tools_and_Home_Improvement_5,5.0,CG,Great protection and a great price. The only problem is that it comes with a small screw driver.
Toys_and_Games_5,5.0,CG,This vanity is very cute and has the pieces to make it a nice little art project.
Pet_Supplies_5,5.0,CG,My cats love it! One of my cats has a sensitive stomach and I have to keep her from chewing on it.
Home_and_Kitchen_5,5.0,OR,Love it! Perfect size & looks very nice & hides my husband's messy desk perfectly! Recommend for a space-saving organizer.
Electronics_5,5.0,CG,Took me 15 min to find a replacement. I've had mine for 2 weeks and it's working perfectly.
Electronics_5,5.0,CG,Works great and is a nice size and quality.  I will keep my iPad in this one.
Tools_and_Home_Improvement_5,5.0,OR,"Very easy to install, color was as described (hard to find a grey elongated seat)."
Movies_and_TV_5,3.0,OR,Enjoyed the Venetian scenery.  The movie was eerie and has a rather shocking ending.  It was great to see Sutherland and Christie  in their hey day.
Movies_and_TV_5,4.0,CG,Good show.  Did not find it entertaining.  Not for children.  Would not recommend.
Pet_Supplies_5,5.0,OR,"My daughter likes the cage, but the hamster is mean lol.
Now if we can just get him to stop biting."
Books_5,5.0,OR,"I read the trilogy for second time and loved it even more.  Highly recommend to anyone. The writing style is gentle, detailed and captivating.  Classic."
Clothing_Shoes_and_Jewelry_5,5.0,CG,It was a hit at the mall and the chain is still in business!This dress is awesome.
Clothing_Shoes_and_Jewelry_5,5.0,CG,Amazing socks well made and look good too.  I've worn them for a couple of hours.
Toys_and_Games_5,5.0,OR,"seems pretty simple, but they love it. Couldnt beat the price."
Electronics_5,5.0,OR,"This thing is totally worth the money.  Sounds great, loud, easy to set-up."
Toys_and_Games_5,5.0,OR,I use this in my lessons with beginner English speakers.
Movies_and_TV_5,5.0,CG,Great movie! My wife and I love the movie!Very good movie.
Movies_and_TV_5,5.0,OR,I am very pleased with the 10 movie collection.  I gave it as a gift and the recepient has nothing but good comments about the collection.
Electronics_5,5.0,OR,This DOCSIS 3.0 high-speed modem is a great match for our 25Mbps cable and gigabit network.
Toys_and_Games_5,4.0,OR,Super cute! My 2yo daughter loves to play with these.
Toys_and_Games_5,4.0,CG,Awesome! A fun character. Emmet the need and the materials. I will say that my daughter was pretty disappointed.  The game is very simple.
Movies_and_TV_5,4.0,OR,Really enjoyed it as each MI movie has gotten better as the series progresses. The opening sequence gets you started in a great way and the movie never disappoints.
Pet_Supplies_5,2.0,OR,"This is not the ""bendable"" soft bone like the other one this company sells. My dog goes nuts for the bendable one thats minty. This one, she won't touch."
Pet_Supplies_5,2.0,OR,"Was hoping it was more scented so my blind dog would be able to locate it, however, did not happen."
Clothing_Shoes_and_Jewelry_5,5.0,CG,Super cute. Great deal. Well worth the money. Wife loved it.
Sports_and_Outdoors_5,4.0,CG,A must have if you are an avid rider. I will keep this bag in my car.
Home_and_Kitchen_5,5.0,CG,"Works great. Bought  second one for my daughter and she loved it. Nice, sturdy, and functional."
Toys_and_Games_5,5.0,CG,Inserted these into the plastic cups. The pieces are just too small.
Home_and_Kitchen_5,3.0,CG,"Reliable performance and easy cleanup, and an easy to clean. I will be purchasing more!Very pretty."
Pet_Supplies_5,5.0,OR,I bought these for my  daughter's cat for Christmas. My daughter reported that her cat just loves this toy and that it was his favorite.
Clothing_Shoes_and_Jewelry_5,5.0,OR,These are my third pair and will definitely not be my last.  They are very comfortable and well made.  I love them.
Kindle_Store_5,4.0,OR,"I found that a few parts were difficult to follow, but the story is intriguing and I've already downloaded the next one."
Electronics_5,5.0,OR,Excellent antenna for my Cambridge Soundworks am/fm radio. Inexpensive and does the job. Fast shipping with prime from Amazon.
Toys_and_Games_5,5.0,OR,we just love this little guy. have it out on our lanai along with the butterfly and both keep us entertained all day.
Clothing_Shoes_and_Jewelry_5,2.0,OR,These look and feel pretty cheap.  Unfortunately i didn't open quickly and missed the return window with vacation.  Would love to return them.  They also run big.
Pet_Supplies_5,5.0,OR,Just what I expected..Very good product and a fair price...Will buy again....I have told a few friends about this buy and they seemed quite surprised at my savings....Fast delivery time.
Pet_Supplies_5,5.0,OR,"Love, love, love this.  Keeps our dogs safe while travelling."
Clothing_Shoes_and_Jewelry_5,5.0,OR,I have 12 pairs of asics . I love them! This is my new favorite.
Movies_and_TV_5,2.0,OR,Did not like very much. To much cussing in that movie.
Kindle_Store_5,5.0,OR,Refreshing and happy ever-after ending.  I needed that today.
Electronics_5,5.0,OR,Put my music on to use in my truck. Works great.
Books_5,5.0,OR,Writing long mandatory reviews is annoying and people should not be forced to write anything. A star system is enough to express opinion.
Tools_and_Home_Improvement_5,3.0,CG,Like it for hunting. Not an easy task to manage but it works for me.
Home_and_Kitchen_5,4.0,CG,"Nice just more trouble then it looks, the finish is a bit thin, not the best quality."
Clothing_Shoes_and_Jewelry_5,5.0,CG,"its nice and big a little tight, but it is good enough.Nice bag!Very pretty."
Sports_and_Outdoors_5,5.0,OR,Great knife for the money!  Has held up well to moderate use so far.
Movies_and_TV_5,3.0,OR,This Heath Ledger film isn't supposed to be an historic epic. Rather a light spoof of the historic movie. Entertaining and I always like to watch the late Ledger.
Electronics_5,5.0,CG,"Easy to use, simply plug it into the wall and you're good to go."
Sports_and_Outdoors_5,3.0,OR,A must-have for extreme cold weather.  Just don't last as long as advertised or as long as others I've used.
Toys_and_Games_5,5.0,CG,these things are the bomb. I love the wooden trains that came with this kit.
Kindle_Store_5,5.0,OR,"The book was an exhilarating,love story. I enjoyed every word written. It is refreshing to read a great love story contemporary to today's ideals."
Books_5,5.0,OR,Another Amish book but in a mystery episode and very enjoyable to read and I would recommend to anyone at any age.
Movies_and_TV_5,5.0,OR,"Have watched the first two; ""Stagecoach"" and ""The Searchers"" and they are excellent.  A great value for used videos."
Books_5,4.0,OR,"If you enjoy the writing style and clarity of previous Joyce Meyer books, you're sure to enjoy this latest book as well."
Kindle_Store_5,2.0,CG,"Based on that typo plus some editing, the story is good but not spectacular. I would recommend this story."
Kindle_Store_5,5.0,OR,I love me some Bree but I'm going to need her to get a backbone....Love is so hard to let of but......
Sports_and_Outdoors_5,5.0,OR,They worked perfectly as expected. Really easy to see your hits at 15 yards.
Clothing_Shoes_and_Jewelry_5,5.0,CG,I just love these!  They are so comfortable and comfortable.  I also have a wide foot.  I am very happy with the shoe and the fit.
Books_5,5.0,CG,Captivated me right from the beginning. The characters were well developed and kept my interest.
Tools_and_Home_Improvement_5,5.0,OR,Works well to stop doors from hitting objects within the opening range.
Home_and_Kitchen_5,5.0,OR,It's bigger than I thought it would be. But it arrived quickly and did the job.
Pet_Supplies_5,1.0,OR,Too big for cat food cans. Not worth it to send them back.
Clothing_Shoes_and_Jewelry_5,5.0,CG,Excellent product.  Good workmanship.  Excellent quality.  Not too thin or too thin.
Kindle_Store_5,5.0,CG,How come there are no more books in the series? I will keep reading them!Very good. I read this book in the last few days and have enjoyed it.
Movies_and_TV_5,2.0,CG,"Always been a Barbra fan, and this movie was very funny.  I also enjoyed the music and the story."
Pet_Supplies_5,5.0,OR,My dogs love this food. I keep ordering it. Fantastic line of dog food.
Pet_Supplies_5,5.0,CG,"These worked great. A little bulky, but the instructions are very clear and easy to follow."
Sports_and_Outdoors_5,5.0,OR,"New Era hats are my favorite fitted baseball gats. I have had 4 hats from them. Over time, they get dirty, but I still like them."
Electronics_5,5.0,OR,"Pure and simply, this is a kindle charger. Its nice to have if you like to plug your kindle into a wall socket to charge."
Clothing_Shoes_and_Jewelry_5,5.0,OR,"Great sneaker , reminds me of years gone by. Only issue, minor, is that the color, charcoal has a slight green look."
Sports_and_Outdoors_5,5.0,OR,"Wonderful unique shape, makes this perfect for athletes and people on the go."
Electronics_5,5.0,CG,Works great with a 2014 MacBook Pro and an AMD Athlon X2 processor. I have one in my office and the other in a office. The sound is great.
Kindle_Store_5,2.0,CG,"Book too short.  No cliffhanger.  Not a full book, just a short one.I read this book in the last few days and have enjoyed it."
Pet_Supplies_5,5.0,OR,"Exactly as advertised. It is sturdy, easy to assemble, and just right my 8 pound puppy."
Books_5,5.0,OR,"This is a fantastic book!  I enjoyed every page -- through humor, poignancy, insights.
I'd highly recommend this book to just about everybody."
Sports_and_Outdoors_5,4.0,OR,Static build up will throw your powder off a few grains. Coat with powder graphite before it's first use and you should be ok.
Pet_Supplies_5,5.0,CG,"Love that this crate's corners are a little wide, which is a nice bonus. I like the extra space so I can open the door."
Pet_Supplies_5,4.0,CG,"I didn't like the smell, but I thought it was good enough. My dog loves this treat."
Home_and_Kitchen_5,3.0,OR,I was surprised when I went to use it there was not any markings for 1/2 or 1/4 cups.  Therefore the 3 stars.
Home_and_Kitchen_5,5.0,CG,best spot cleaner on the market. The only problem is that it's kind of hard to clean.
Electronics_5,5.0,OR,Bought the adapter to go with my extra charging cable. Worked well with Samsung cable.
Tools_and_Home_Improvement_5,5.0,CG,"Can't beat the price for this set, the materials are good, and the quality is outstanding."
Pet_Supplies_5,5.0,OR,My dogs love these. Bought for my top porch and back yard. Very durable.
Sports_and_Outdoors_5,4.0,OR,"Almost as good as sex. These are simple & easy to go from one cal. to another just by changing the drum. like these. Price seems reasonable also.
Good buy."
Home_and_Kitchen_5,5.0,CG,I got 2 of these and they are the best. I will keep them for the next couple years. Love it.
Kindle_Store_5,5.0,OR,Never give up on your dreams. Don't let people that disagree with you  bring you down. Great book. It shows you every day people are the same as famous.
Tools_and_Home_Improvement_5,5.0,OR,"Somfar the have worked very well, as i said with the previous lights i bought, time will say."
Tools_and_Home_Improvement_5,5.0,OR,Does this really need a review? Good quality. As expected.
Electronics_5,4.0,CG,A high-quality cable that contributed greatly to the quality of my video. This cable is a bargain.
Home_and_Kitchen_5,4.0,OR,liked the original style I had for years but it finally died.  This one works fine.
Books_5,5.0,CG,This book was given as a gift by an aunt. I will not be buying the next one.
Home_and_Kitchen_5,5.0,OR,"This is absolutely  adorable. Pretty blue color, more vibrant than photo. It's also very large and nice quality."
Clothing_Shoes_and_Jewelry_5,3.0,OR,"Just received them today. Fit as expected and are fairly comfortable.
There was two weeks between order an arrival, which is pretty bad.

Will update review after wearing for awhile."
Pet_Supplies_5,5.0,OR,Has been working wonders to put weight on for my dog.
Toys_and_Games_5,5.0,OR,Our 2 year old grandson was delighted with this.  We keep the sliding door closed so he is not overwhelmed by so many pieces at a time.
Movies_and_TV_5,5.0,OR,Enjoyed seeing Dumbo again I had forgotten some of it.
Clothing_Shoes_and_Jewelry_5,1.0,CG,Based on measurements I got a size 10.5. I normally wear a size 10.5.
Movies_and_TV_5,4.0,CG,"It was pretty good. Not a bad movie, just not a lot of action."
Sports_and_Outdoors_5,4.0,CG,Great product. Have used it on my AR-15 for about a year now. Works great.
Tools_and_Home_Improvement_5,5.0,OR,This comes in very handy if you need to use a lightbulb in an extension cord for going underneath a house dark crawl space.
Pet_Supplies_5,5.0,OR,My Golden Retriever loves these little treats.  They are soft so can pinch them into fourths very easily when training your dog.
Clothing_Shoes_and_Jewelry_5,1.0,OR,Paint peels instantly. Don't buy it. It's comfortable but the material peeled on first wear.
Pet_Supplies_5,5.0,OR,Pull the capsule apart and add to a tablespoon of moist food and your older cat will act like a younger kitty. The pain relief provided is worth the cost.
Tools_and_Home_Improvement_5,4.0,CG,Bought a new copper kitchen sink. It's a good sink. The dimensions are just right.
Pet_Supplies_5,5.0,CG,My dog loves these. They're soft and easy to put on and off. My dog loves this treat.
Books_5,5.0,OR,Engrossing. Enthralling. Heart-stopping. This book is simply awesome. Characters are complex. Storyline unpredictable. I've become addicted to the stories of Brent Weeks.
Clothing_Shoes_and_Jewelry_5,5.0,OR,Got this as a gift in diferant colors.  My mother loves them.  Well made soft and lots of compliments.
Clothing_Shoes_and_Jewelry_5,3.0,OR,held up through nursing school. the pen light is junk just like most pen lights are anyways.
Pet_Supplies_5,5.0,OR,"This absolutely worked with the existing collar that I had for my old dog. Now I can walk both of them together, and they both respond to my commands."
Movies_and_TV_5,5.0,CG,I bought this DVD to see what the movie was like. I didn't know what the movie was about.
Home_and_Kitchen_5,1.0,OR,DON'T BEND THEM OR THEY WILL SPLIT.  THEY NEED TO BE MORE RESILIENT.
Electronics_5,1.0,OR,Piece if junk. Don't bother. Terrible sound and it will skip from time to time when it has no reason to.
Toys_and_Games_5,4.0,OR,My son likes this but because it folds in half the tent style doesn't stay upright for long. Keeps collapsing.
Sports_and_Outdoors_5,3.0,OR,"Quality is fine.  Nice that they included a cord extension.  Unfortunately, my Samsung S3 with Otterbox case does not fit in the bag."
Electronics_5,5.0,OR,"The folks at Belkin make quality products, and this case is great companion for the Kindle Fire HD 7"".
Really great of you are watching a movie or TV show.
Recommended."
Clothing_Shoes_and_Jewelry_5,2.0,OR,Straps were extremely tight which was the reason they were returned.
Tools_and_Home_Improvement_5,5.0,OR,simple elegant fixture.  We get many compliments on it.
Kindle_Store_5,4.0,CG,Very entertaining dialogue. Good reading. Looking forward to reading more from this author. Very good. I read this book in the last few days and have enjoyed it.
Movies_and_TV_5,5.0,OR,We have enjoyed the first two episodes very much.  I lol forward to watching more.
Pet_Supplies_5,5.0,CG,Mo oldest dog that's 15 years old and the only one I know who's not a bully.
Sports_and_Outdoors_5,4.0,OR,"Like the product, purchased two and fits my S&W M&P 40 full size and 9MM shield.  Nothing special about it.  Four stars is a good rating for me."
Tools_and_Home_Improvement_5,5.0,OR,Replace the candelabra sockets in my celling fan with these... awesome idea and they work fantastic.  Fast shipping and seller was great.
Toys_and_Games_5,5.0,CG,Used this for the photo booth. The pieces are sturdy and the product is well made.
Toys_and_Games_5,5.0,OR,Expect to crash and replace stuff. It is very durable otherwise. It is extremely susceptible to crosswinds and has no ailerons.
Sports_and_Outdoors_5,5.0,OR,This is a great cooler and just the right size for short trips. Coleman still makes good stuff and this is one of them. Nice product and a decent price.
Tools_and_Home_Improvement_5,4.0,CG,It's a great portable table saw. The only problem is that it's not really a precision saw. It's not very precise.
Tools_and_Home_Improvement_5,5.0,OR,Great addition to all those bathroom fixtures I've already reviewed...hinges coming up next....
Toys_and_Games_5,5.0,OR,I like the overall size. It fits a card table with plenty of room around it. It is nice that it comes with a large paper picture of the puzzle.
Electronics_5,4.0,CG,I purchased two of these. I love the feel of the magnets. They work great and the other two have had no issues.
Books_5,5.0,OR,well researched and written. it reflects thepast and the future in electronics.
Toys_and_Games_5,1.0,OR,"I've only had this battery 2 months and it suddenly stopped working. When I plug it in to charge, nothing."
Home_and_Kitchen_5,5.0,OR,This is a great cooker. It is making me fatter. Easy to clean and lighter than traditional crock pots.
Movies_and_TV_5,5.0,CG,"Information + humor.  A little slow at times, but good enough to make a movie worth watching.I really enjoyed the film. The script and acting were very good."
Toys_and_Games_5,5.0,OR,My 2 year old loves it.  She will feed the dinosaur for hours.
Clothing_Shoes_and_Jewelry_5,5.0,CG,the folding plastic seems to be a nice quality material. I will keep this bag in my collection.
Home_and_Kitchen_5,5.0,CG,This simple tool is awesome. I love the feel of the handle.
Clothing_Shoes_and_Jewelry_5,2.0,OR,"Cute, but they are only going to be comfortable on someone with a narrow foot."
Pet_Supplies_5,5.0,OR,Hamster loved them. Even gave a few to my cockatiel who pecked at them as well. Good price when you do this as an add-on to a bigger order.
Tools_and_Home_Improvement_5,5.0,OR,These went into the Christmas stockings of the men in the family.  They were happy with the size and found them useful.
Pet_Supplies_5,5.0,OR,Love that it makes SO MUCH and that it is easy to use without needing machines.
Tools_and_Home_Improvement_5,5.0,CG,like this nozzle. big improvement over the original.Very bright.  Works great for the price.
Home_and_Kitchen_5,2.0,OR,These are so weak. They barely bring in any air.
Sports_and_Outdoors_5,2.0,OR,The seal ripped where I plug my headphones into and so it is now  unusable. Good thing otterbox stopped making these.
Toys_and_Games_5,2.0,OR,I thought for the price that I was getting a large full sheeted booklet of stickers. It's not an 81/2 by 11 book. It's more like 4x6.
Clothing_Shoes_and_Jewelry_5,5.0,OR,My son loves these sneakers. Wears them all the time.
Electronics_5,5.0,CG,"sound is awesome for smaller speakers. The only problem is that it's not really a stereo, but a pair of speakers."
Electronics_5,5.0,OR,Open the box and plug it in nothing more was required to use it.  I was pleasantly surprised by the small size.
Kindle_Store_5,5.0,OR,"I really loved and enjoyed this great story.  It was great.
Thank you so very much for writing this very enjoyable story."
Electronics_5,5.0,OR,It works fine with the remote. The volume does not work.. I am still learning about it.
Tools_and_Home_Improvement_5,1.0,CG,Buyer beware. I am running into an issue with the instructions for opening and closing the door. The instructions are not very clear.
Tools_and_Home_Improvement_5,5.0,CG,"The lights were amazing!!! But, I couldn't find a good description on how to install them."
Clothing_Shoes_and_Jewelry_5,5.0,OR,"Excellent bag. Been using it a bit roughly but not a single mark to show for it. If nothing else, it is very durable."
Kindle_Store_5,5.0,CG,"This was pretty good hope that the whole story would end.

The story was a bit slow."
Movies_and_TV_5,5.0,CG,This movie is one of the most entertaining movies I've seen in a long time.
Movies_and_TV_5,4.0,CG,"Good movie, i did not find it entertaining. Not for children."
Movies_and_TV_5,2.0,CG,If you're a fan of the old Toho movies you will like this one. I was just blown away by the way the movie moves.
Home_and_Kitchen_5,5.0,OR,Excellent!! My husband also uses it to find tiny bolts dropped on the carpet...
Clothing_Shoes_and_Jewelry_5,5.0,CG,"Cute, comfy, as expected. These are a little wide, but I'm happy with them. Very pretty. I bought this for my son, and he is very happy with the purchase."
Movies_and_TV_5,4.0,CG,This movie kept and children's books. The movie was funny and it kept my attention. Very good.
Tools_and_Home_Improvement_5,5.0,OR,"Easily surfaced my new 42x60 workbench top. Large size makes for quicker job and keeps a fine edge for the whole deal. Great bit, well balanced."
Clothing_Shoes_and_Jewelry_5,5.0,CG,"Display your American Patriotism in this wallet, as well as the other U. S."
Movies_and_TV_5,5.0,OR,this was a gift for my sister which she loves. would recommend it to everyone who is willing to buy.
Home_and_Kitchen_5,5.0,OR,I love this pillow! I no longer have any neck or back pain! Thank you! It keeps it's form and never goes flat.
Books_5,5.0,OR,You read of another viewpoint of the war: the animals. I passed this on to a Afghan war vet. He'd stayed at many places in the photos.
Pet_Supplies_5,5.0,CG,"This Alligator is one our little ones love. We've tried other flavors, but this one is the favorite. The plastic part is also very light and easy to wash."
Movies_and_TV_5,5.0,CG,This is a replacement dvd for the original. The two movies are also identical in their appearance.
Sports_and_Outdoors_5,4.0,OR,"Not much cushion, but that is a matter of taste I guess."
Toys_and_Games_5,5.0,OR,Bought this 5 years ago. Great game for all ages. We play it often.
Sports_and_Outdoors_5,5.0,CG,"Amazing product, when you start using it, you feel like you are on a roller coaster. It is so easy to use."
Sports_and_Outdoors_5,5.0,OR,"Used this is Italy for day trips while on tour. It's actually larger than we thought. It held a sweater, guides, snacks and two drinks with room to spare."
Movies_and_TV_5,4.0,OR,One of those sleepers that's a keeper. Fine Blu-ray of a minor classic.
Pet_Supplies_5,3.0,OR,My dog likes this nylabone but the points on it are very sharp now that it is a little chewed.
Movies_and_TV_5,5.0,OR,"This is without a doubt one of the finest things I have ever watched. Very detailed, intense and true to the time period."
Toys_and_Games_5,5.0,OR,"Perfect for our dramatic play area. The kids like to give the stuffed toys check ups, and we took the stethoscope to put last doctors appointment."
Books_5,5.0,CG,The book took me by surprise. It was a good read. I would recommend it.
Kindle_Store_5,5.0,CG,"Yes see that's how love works. The chemistry between these two is palpable, and the way they share a common bond is amazing."
Kindle_Store_5,5.0,CG,Yes yes yes yes such a sweet and sweet story. I will definitely read more of this author.
